ts,v_prim_rms,i_prim_rms,v_sec,i_sec,p_sec,p_loss,p_net,t_core,t_oil,mu_oil,pf_prim,freq,faa,life_h,e_out_MWh,e_loss_MWh,fan_mode,fan1,fan2
1763754660.2622383,220000.0,135.662676488173,20000.0,1492.289441369903,49192196.567423366,720677.59986267,48471518.96756069,40.229289293584486,35.13935615563784,0.023479636660566197,0.9515958212556602,49.9919313290006,0.0012634184103782777,6.64111527046114e-06,0.24877032089725418,0.0037301016153659878,AUTO,0,0
1763754661.5071414,220000.0,135.807824322793,20000.0,1493.8860675507233,49141311.90468031,721364.1639263914,48419947.74075392,40.2358457592438,35.14324989055407,0.02347661987951253,0.9495954970319451,50.0270341937081,0.0012643757271936095,6.816723010349142e-06,0.25549531363902556,0.0038302910825779865,AUTO,0,0
1763754662.6830177,220000.0,127.92597157648025,20000.0,1407.1856873412826,46255407.73854752,685144.7044467748,45570263.03410074,40.24128064175067,35.146656353791535,0.023473980943836556,0.9489000758593363,49.992858891723,0.0012651698302472226,6.992441042327923e-06,0.26182451683820623,0.003925450069306705,AUTO,0,0
1763754663.709472,220000.0,133.5171085618515,20000.0,1468.6881941803665,47986801.94416473,710614.4816883692,47276187.46247636,40.24750089985283,35.150404708324565,0.023471077492917446,0.9431951972445128,50.01013918671264,0.0012660792983940619,7.168285389327098e-06,0.2683906539857724,0.004024146525096756,AUTO,0,0
1763754664.6614928,220000.0,135.31378108006314,20000.0,1488.4515918806944,49089413.907630295,719030.2923575931,48370383.6152727,40.253975210101956,35.15426399262382,0.02346808849174746,0.952056032205951,50.00008262379206,0.001267026606053796,7.344261306834569e-06,0.2751087628212269,0.004124011843479755,AUTO,0,0
1763754665.6103532,220000.0,139.12411909671857,20000.0,1530.3653100639042,49309129.568471394,737250.5894435665,48571878.97902783,40.26099683583025,35.15836162507259,0.023464915307464078,0.930125606044818,49.98815906519799,0.0012680547970044399,7.5203800286407415e-06,0.2818548571238697,0.00422640775868025,AUTO,0,0
1763754666.6573946,220000.0,121.1217254962087,20000.0,1332.3389804582957,44532322.18306228,655618.3108742057,43876703.87218807,40.26548262468523,35.16135703581541,0.023462595949138656,0.9648726254029665,49.99824368267786,0.0012687120969467583,7.696590042105568e-06,0.28794884377278473,0.004317465857412779,AUTO,0,0
1763754667.73392,220000.0,132.0580139709629,20000.0,1452.6381536805918,48009773.804151654,703862.6951961124,47305911.10895554,40.27147737043999,35.16500880186011,0.023459768682426753,0.9540729657736491,50.01791494155905,0.001269591035373762,7.872922130351924e-06,0.29451910920458413,0.004415224565078906,AUTO,0,0
1763754668.6529682,220000.0,127.65393581070873,20000.0,1404.1932939177962,45557347.83796984,683933.2681624542,44873414.56980739,40.27684966574175,35.168390287932525,0.023457150975408143,0.9365714517988967,49.98207290203529,0.001270379228621534,8.049363689882692e-06,0.30075152789483517,0.004510215296768136,AUTO,0,0
1763754669.7616675,220000.0,127.19724073852846,20000.0,1399.1696481238132,46649779.28674965,681905.3014092518,45967873.9853404,40.28215536850381,35.17174316188528,0.023454555706260486,0.9624730876973042,50.021870864041254,0.0012711581320505347,8.225913430445267e-06,0.30713595483724354,0.00460492436640831,AUTO,0,0
